41761, 2327
54973, 17578
29034, 6773
17755, 318
22737, 6804
26956, 1977
26492, 9294
13082, 385
24636, 2912
26094, 16654
27324, 14831
24704, 7532
21025, 3298
7261, 6540
52282, 4479
13419, 1765
49495, 2706
52346, 13487
33474, 19019
31413, 11864
30030, 16128
45654, 19274
30532, 10707
28472, 3930
9273, 13600
44764, 7459
41152, 18285
22095, 9518
3620, 17788
58512, 7413
25512, 6525
16743, 18579
4451, 6231
37460, 7335
4448, 11512
18764, 7849
16599, 8180
3722, 19986
22990, 18781
58889, 2616
36837, 5415
38350, 7629
12438, 5864
34021, 8409
47573, 18295
26349, 5198
33235, 19652
38304, 12193
6923, 14111
5498, 3113
32119, 16883
14963, 11185
48439, 11141
30833, 7168
29500, 5102
23910, 12078
11627, 6510
17892, 15263
7499, 9952
11601, 4676
9172, 17053
22535, 19532
22957, 11661
21056, 13257
46773, 16220
3296, 8405
22007, 10634
7927, 6578
40225, 91
56443, 4259
42760, 11425
2062, 16470
38588, 15574
18169, 1579
23296, 12961
53440, 17029
46690, 15659
5158, 10548
35815, 5738
7093, 16931
12069, 16662
50117, 6978
12474, 7934
29151, 17498
55766, 10793
38882, 17043
12928, 1342
39295, 11369
14011, 17990
33583, 6229
28079, 18627
17387, 6730
34047, 15222
28162, 13487
1284, 11265
19739, 19433
17133, 2509
33441, 2549
27083, 19507
35042, 3331
19020, 18989
51121, 13166
28013, 19031
32726, 9492
44411, 11426
21960, 9488
34315, 9655
16055, 6054
48037, 17982
30615, 3883
49622, 13913
5806, 1299
11186, 7608
3657, 15132
56910, 13610
14148, 19145
57524, 4953
28674, 17163
44431, 17386
10628, 6030
26401, 18019
32958, 18436
25976, 11724
10674, 15017
56850, 7513
8951, 10123
28075, 14286
45132, 3517
11994, 16261
32926, 9784
3735, 14670
24930, 10623
45636, 2348
38134, 15771
29312, 8193
49707, 6496
36546, 17768
10024, 12473
2573, 4480
39392, 8433
18272, 18162
53146, 16324
45769, 10131
7463, 15469
2163, 19711
5557, 11738
56037, 1049
12947, 6015
5849, 11885
19091, 10702
2730, 16497
26973, 10592
26305, 2444
18029, 14257
14731, 564
34695, 16004
29427, 2285
39568, 12021
3395, 672
50724, 11123
54145, 5310
9980, 9038
51151, 4202
27317, 528
12743, 10386
3185, 9111
35305, 17013
34955, 11241
1910, 4769
58144, 13749
45002, 346
23537, 19523
51499, 4947
11504, 6078
40872, 7992
51948, 11580
